studentnum,e_ee_short_score,e_cs_score,expgrad4,e_attend_grad_school,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_reservation,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
22,NA,NA,1,1,0,1,0,0,20,0,IR004CS,0.5714285714285713,0,1.428571428571429,116.85714285714286,4.571428571428571,1.428571428571429,0.2857142857142857,4.571428571428572
23,NA,NA,1,0,0,0,0,0,20,0,IR004CS,0.625,0,1.5625,120.3125,4.375,1.5625,0.3125,4.0625
24,NA,-0.7253536611797397,1,1,0,0,0,0,21,0,IR004CS,1.176470588235294,0,1.4705882352941178,122.05882352941175,3.8235294117647056,2.058823529411765,0,4.11764705882353
25,NA,-0.7253536611797397,1,NA,0,1,1,1,20,0,IR004CS,0.3125,0,1.5625,119.0625,3.75,1.25,0.3125,4.0625
26,NA,-0.7253536611797397,1,1,1,0,1,0,21,0,IR004CS,0.9375,0,1.875,126.875,3.75,1.875,0.3125,4.0625
27,NA,NA,1,1,0,0,1,0,19,0,IR004CS,0.3703703703703706,0,1.8518518518518523,132.96296296296296,4.814814814814815,1.111111111111111,0,4.444444444444445
28,NA,NA,1,1,0,0,0,1,21,0,IR004CS,0.3225806451612905,0,1.9354838709677415,128.38709677419357,4.516129032258064,1.2903225806451617,0,4.516129032258064
29,NA,-0.4640017438510791,1,NA,0,0,1,1,21,0,IR004CS,0.28571428571428564,0,1.428571428571429,117.71428571428572,4.000000000000001,1.4285714285714288,0.5714285714285714,4.285714285714286
30,NA,-0.7253536611797397,1,1,0,0,1,0,19,0,IR004CS,0.6666666666666667,0,1.3333333333333337,118.66666666666669,2.999999999999999,2.0000000000000004,0.3333333333333333,3.6666666666666665
31,NA,NA,1,0,0,0,1,1,20,0,IR004CS,0.6896551724137929,0,1.7241379310344829,126.20689655172414,4.137931034482759,1.7241379310344829,0.34482758620689646,4.137931034482759
32,NA,-0.7253536611797397,1,1,0,0,0,0,20,0,IR004CS,0.9375,0,1.5625,128.75,4.375,2.1875,0.3125,4.0625
33,NA,-0.20264982652241847,1,1,0,0,0,0,21,0,IR004CS,0.6896551724137929,0,1.379310344827586,119.6551724137931,3.7931034482758625,1.7241379310344829,0,4.827586206896552
34,NA,NA,1,0,0,1,1,1,20,0,IR004CS,0.6896551724137929,0,1.0344827586206895,110.3448275862069,3.793103448275862,2.068965517241379,0,4.482758620689655
35,NA,-0.7253536611797397,1,1,0,0,1,1,20,0,IR004CS,0.9090909090909092,0,1.8181818181818177,132.12121212121212,4.242424242424242,1.818181818181818,0.3030303030303032,3.6363636363636367
36,NA,NA,1,0,0,0,1,1,21,0,IR004CS,0.9375,0,1.25,117.5,3.75,1.875,0.3125,4.0625
37,NA,0.05870209080624213,1,NA,0,0,1,0,20,0,IR004CS,0,0,1.7241379310344829,120,4.137931034482759,1.379310344827586,0.34482758620689646,4.827586206896552
38,NA,0.32005400813490276,1,1,0,0,1,1,21,0,IR004CS,0,0,1.176470588235294,115.29411764705884,3.5294117647058822,1.176470588235294,0.588235294117647,5.294117647058823
39,NA,-0.7253536611797397,1,0,0,1,1,1,21,0,IR004CS,1.515151515151515,0,0.6060606060606064,91.51515151515152,3.0303030303030303,1.8181818181818177,0.3030303030303032,5.454545454545454
40,NA,NA,1,0,0,0,0,0,20,0,IR004CS,0.32258064516129054,0,1.6129032258064515,122.25806451612904,3.870967741935483,1.2903225806451617,0,4.193548387096774
41,NA,NA,1,0,0,0,1,0,21,0,IR004CS,0,0,1.7647058823529411,128.8235294117647,5,1.176470588235294,0.2941176470588235,4.411764705882353
42,NA,NA,1,1,0,0,0,0,22,0,IR004CS,1.052631578947369,0,1.3157894736842106,122.10526315789474,3.947368421052631,2.3684210526315788,0.26315789473684226,3.6842105263157894
43,NA,NA,1,1,0,0,0,0,19,0,IR004CS,0.6060606060606064,0,1.5151515151515151,120.6060606060606,4.242424242424242,1.2121212121212122,0,4.545454545454545
44,NA,-0.7253536611797397,1,1,0,0,1,1,20,0,IR004CS,0,0,1.5151515151515151,113.63636363636364,3.939393939393939,1.5151515151515151,0.6060606060606064,3.939393939393939
45,NA,0.05870209080624213,1,1,0,1,0,0,20,0,IR004CS,0.9999999999999996,0,1,111,4,2,0,5
46,NA,-0.7253536611797397,1,1,0,0,0,1,21,0,IR004CS,1.0714285714285712,0,1.4285714285714288,123.92857142857142,4.285714285714286,2.142857142857143,0.3571428571428572,4.285714285714286
47,NA,0.5814059254635634,1,0,0,0,0,0,20,0,IR004CS,0.7692307692307696,0,1.9230769230769231,122.30769230769232,3.8461538461538463,1.1538461538461535,0.3846153846153847,3.8461538461538463
48,NA,NA,1,1,0,0,0,0,19,0,IR004CS,0.6060606060606064,0,1.2121212121212122,113.93939393939394,3.939393939393939,1.8181818181818177,0.3030303030303032,4.545454545454545
49,NA,NA,1,1,1,0,1,0,19,0,IR004CS,0.6896551724137929,0,1.7241379310344829,131.3793103448276,4.137931034482759,1.7241379310344829,0,4.482758620689655
50,NA,-0.7253536611797397,1,0,1,0,1,1,20,0,IR004CS,0.645161290322581,0,1.6129032258064515,127.09677419354838,3.870967741935483,1.9354838709677415,0.3225806451612905,3.870967741935484
51,NA,0.05870209080624213,1,1,0,0,0,1,21,0,IR004CS,0,0,1.714285714285714,124.28571428571428,4.571428571428572,0.8571428571428572,0,4.857142857142857
52,NA,NA,1,0,0,0,1,1,20,0,IR004CS,0.2941176470588235,0,2.058823529411765,131.1764705882353,4.705882352941176,0.8823529411764707,0,4.411764705882353
53,NA,NA,1,1,0,0,1,0,19,0,IR004CS,0.9090909090909092,0,1.5151515151515151,120,3.636363636363636,1.818181818181818,0.3030303030303032,4.242424242424242
54,NA,NA,1,1,0,0,1,1,20,0,IR004CS,0.9375,0,1.5625,125.3125,4.0625,1.875,0.3125,3.4375
55,NA,NA,1,0,0,0,0,0,20,0,IR004CS,0.6896551724137929,0,1.7241379310344829,127.24137931034484,4.482758620689655,1.7241379310344829,0.34482758620689646,4.482758620689655
56,NA,0.05870209080624213,1,1,0,0,1,1,21,0,IR004CS,0.8695652173913048,0,1.3043478260869563,111.73913043478262,3.4782608695652173,2.1739130434782608,0.43478260869565233,3.9130434782608696
57,NA,-0.7253536611797397,1,0,0,1,1,1,19,0,IR004CS,0.625,0,1.5625,125,4.0625,1.875,0.3125,4.375
58,NA,NA,1,NA,0,0,1,1,19,0,IR004CS,0.9375,0,1.5625,121.5625,3.125,2.1875,0.3125,3.4375
59,NA,NA,1,0,0,0,0,0,20,0,IR004CS,1.1428571428571426,0,1.428571428571429,116.85714285714286,3.142857142857143,2.0000000000000004,0,3.7142857142857144
60,NA,NA,1,0,0,0,0,0,20,0,IR004CS,0.6060606060606064,0,1.5151515151515151,127.27272727272728,3.939393939393939,1.818181818181818,0.3030303030303032,3.939393939393939
61,NA,NA,1,1,1,0,1,0,21,0,IR004CS,1.1111111111111107,0,1.3888888888888893,116.38888888888889,3.6111111111111103,1.9444444444444449,0.2777777777777777,3.611111111111111
62,NA,-0.7253536611797397,1,1,1,0,1,1,19,0,IR004CS,0,0,1.7857142857142856,131.07142857142858,4.642857142857143,1.0714285714285716,0.35714285714285726,3.928571428571429
63,NA,NA,1,1,0,0,0,0,20,0,IR004CS,0.8333333333333331,0,1.666666666666667,128.75,4.166666666666666,2.0833333333333335,0.41666666666666663,4.166666666666666
64,NA,-0.7253536611797397,1,1,0,0,1,1,19,0,IR004CS,1.25,0,1.5625,124.375,4.0625,2.1875,0,4.375
65,NA,NA,1,1,0,0,0,0,19,0,IR004CS,0.8823529411764708,0,1.470588235294118,120.88235294117648,3.5294117647058822,2.058823529411765,0.2941176470588235,4.11764705882353
66,NA,-0.7253536611797397,1,1,0,1,1,1,19,0,IR004CS,0.33333333333333337,0,1,111,4.333333333333334,1.6666666666666663,0.33333333333333337,6
67,NA,-0.20264982652241847,1,NA,1,0,0,0,21,0,IR004CS,0.6666666666666667,0,1.3333333333333337,121.66666666666669,4.333333333333333,1.6666666666666663,0.3333333333333333,4
68,NA,NA,1,0,1,0,1,0,22,0,IR004CS,0.6060606060606065,0,1.5151515151515151,123.03030303030305,4.242424242424242,1.5151515151515151,0.3030303030303032,3.939393939393939
69,NA,0.05870209080624213,1,0,0,0,1,0,21,0,IR004CS,0.6896551724137929,0,1.7241379310344829,128.96551724137933,4.482758620689655,1.7241379310344829,0.34482758620689646,3.103448275862069
70,NA,NA,1,1,0,1,1,1,19,0,IR004CS,0.7894736842105261,0,1.842105263157895,131.84210526315792,4.2105263157894735,1.8421052631578947,0.26315789473684226,3.6842105263157894
71,NA,0.5814059254635634,1,1,0,0,1,1,21,0,IR004CS,0,0,1.6129032258064515,120.6451612903226,4.516129032258064,1.2903225806451617,0.3225806451612905,4.193548387096774
72,NA,NA,1,1,0,0,1,1,20,0,IR004CS,0.8571428571428574,0,1.428571428571429,115.71428571428572,4.000000000000001,1.714285714285714,0.2857142857142857,4
73,NA,0.842757842792224,1,1,0,0,1,0,20,0,IR004CS,1.428571428571429,0,0.9523809523809522,104.28571428571428,3.8095238095238098,2.380952380952381,0.47619047619047616,4.285714285714286
74,NA,NA,1,NA,0,0,1,1,21,0,IR004CS,1.1111111111111107,0,1.111111111111111,112.2222222222222,3.333333333333334,2.2222222222222223,0,5
75,NA,NA,1,1,0,0,1,1,21,0,IR004CS,0.3571428571428572,0,1.4285714285714288,122.85714285714286,3.928571428571429,1.4285714285714288,0,4.642857142857143
76,NA,-0.7253536611797397,1,0,0,0,0,1,21,0,IR004CS,0.7142857142857145,0,1.428571428571429,123.21428571428572,3.928571428571429,1.7857142857142856,0.3571428571428572,4.642857142857142
77,NA,NA,1,0,0,0,1,1,21,0,IR004CS,0.7142857142857145,0,1.4285714285714288,121.07142857142858,3.928571428571429,1.7857142857142858,0,5.357142857142858
78,NA,NA,1,1,0,0,1,0,24,0,IR004CS,1.428571428571429,0,1.0714285714285716,108.92857142857142,3.571428571428571,2.5,0.3571428571428572,4.642857142857142
79,NA,NA,1,1,0,0,0,1,20,0,IR004CS,0.9999999999999998,0,1.6666666666666663,125.66666666666666,3.6666666666666665,2.333333333333333,0.3333333333333333,3.6666666666666665
80,NA,NA,1,0,0,0,0,0,20,0,IR004CS,0.41666666666666663,0,0.8333333333333335,110.83333333333331,3.75,2.0833333333333335,0,5
81,NA,0.05870209080624213,1,1,0,0,1,1,21,0,IR004CS,1.0714285714285714,0,1.7857142857142856,126.78571428571428,3.928571428571429,1.4285714285714288,0,4.642857142857143
82,NA,NA,1,0,0,0,0,0,21,0,IR004CS,0.6666666666666667,0,1.6666666666666663,129.33333333333334,4.333333333333334,1.6666666666666663,0,5
83,NA,NA,1,0,1,0,0,0,21,0,IR004CS,0.9375,0,1.25,106.25,3.75,1.5625,0,4.0625
84,NA,NA,1,NA,0,0,1,0,20,0,IR004CS,0.9090909090909088,0,1.3636363636363635,124.0909090909091,3.1818181818181825,2.727272727272727,0.4545454545454545,3.6363636363636367
85,NA,NA,1,NA,0,0,1,0,20,0,IR004CS,0.6666666666666667,0,1.3333333333333337,120.99999999999996,3.6666666666666665,2.0000000000000004,0.3333333333333333,4
86,NA,NA,1,NA,0,0,0,0,20,0,IR004CS,0.588235294117647,0,1.4705882352941178,117.94117647058825,4.11764705882353,1.4705882352941178,0.2941176470588235,4.411764705882353
87,NA,0.32005400813490276,1,0,1,1,0,0,19,0,IR004CS,0.7142857142857145,0,1.4285714285714288,125.71428571428572,4.285714285714286,1.7857142857142856,0,4.642857142857143
88,NA,NA,1,0,0,1,0,1,20,0,IR004CS,0.909090909090909,0,1.5151515151515151,118.18181818181816,3.9393939393939386,1.818181818181818,0.3030303030303032,4.848484848484849
89,NA,NA,1,0,0,0,1,1,20,0,IR004CS,1.7647058823529411,0,1.7647058823529411,130,4.117647058823529,2.352941176470588,0,4.117647058823529
90,NA,-0.20264982652241847,1,1,0,0,0,1,19,0,IR004CS,0.6896551724137929,0,1.379310344827586,117.24137931034484,3.793103448275862,1.7241379310344829,0.34482758620689646,4.137931034482759
91,NA,0.842757842792224,1,0,0,0,1,1,21,0,IR004CS,0.6451612903225811,0,1.290322580645162,117.41935483870968,4.516129032258064,1.612903225806452,0,4.838709677419355
92,NA,NA,1,1,0,0,1,1,21,0,IR004CS,0.6666666666666667,0,1.3333333333333337,117.66666666666669,3.6666666666666665,1.6666666666666663,0,4.333333333333333
93,NA,0.32005400813490276,1,0,0,1,0,0,20,0,IR004CS,0.3448275862068967,0,1.7241379310344829,124.13793103448272,3.793103448275862,1.0344827586206895,0,4.827586206896552
94,NA,NA,1,NA,0,0,0,0,21,0,IR004CS,0.39999999999999986,0,1.5999999999999996,117.6,4,1.6,0.4000000000000001,5.2
95,NA,-0.4640017438510791,1,0,1,0,1,1,19,0,IR004CS,1.5000000000000002,0,2.0000000000000004,138.49999999999997,2.999999999999999,3.5,0.4999999999999999,2.5
96,NA,NA,1,0,0,0,1,1,19,0,IR004CS,0.8333333333333331,0,1.25,117.5,4.166666666666666,2.5,0.41666666666666663,4.583333333333334
97,NA,-0.7253536611797397,1,0,0,0,0,0,20,0,IR004CS,0.645161290322581,0,1.6129032258064515,119.3548387096774,3.870967741935483,1.6129032258064515,0.3225806451612905,4.516129032258064
