department_id,studentnum,subject,e_g3_score,b_g1_score,b_i_jeemain_score,fac_reservation,reservation_stu,took_jee,female,age,miss_age,father_college,mother_college,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
IR004EE,1,Physics,0.2291883531090576,NA,0,0,0,0,1,0,1,0,1,0,0,58,2,0,0,6
IR042CS,2,Math,-0.8945173558147025,NA,0,5,1,0,1,0,1,0,0,0,0,135,0,10,0,5
IR042CS,2,Physics,0.2291883531090576,NA,0,0,1,0,1,0,1,0,0,0,5,155,5,0,0,0
IR050CS,3,Math,0.5231835656691844,NA,0,10,0,0,1,0,1,1,1,0,0,20,0,0,0,10
IR004EE,4,Physics,-0.10017701037322008,NA,0,0,0,0,0,0,1,1,1,0,0,58,2,0,0,6
IR012CS,5,Math,-0.8945173558147025,NA,0,0,0,0,0,0,1,1,1,0,10,190,10,0,0,0
IR012CS,5,Physics,2.2053805340027237,NA,0,0,0,0,0,0,1,1,1,0,0,65,0,2.5,0,7.5
IR010CS,6,Math,-0.18566689507275905,NA,0,0,0,0,0,0,1,1,1,3.333333333333334,0,113.33333333333334,3.333333333333334,0,10,3.333333333333334
IR010CS,6,Physics,-0.10017701037322008,NA,0,3.333333333333334,0,0,0,0,1,1,1,3.333333333333334,0,93.33333333333334,3.333333333333334,0,0,3.333333333333334
IR012EE,7,Math,0.2869000787552033,NA,0,0,0,0,0,0,1,0,0,0,0,100,10,0,0,0
IR012EE,7,Physics,-1.7470038277846085,NA,0,0,0,0,0,0,1,0,0,2.5,0,172.5,2.5,2.5,2.5,0
IR036EE,8,Math,-0.8945173558147025,NA,0,0,0,0,1,0,1,1,1,0,0,70,0,0,0,0
IR036EE,8,Physics,-0.7589077373377755,NA,0,6,0,0,1,0,1,1,1,0,2,74,1.6666666666666663,1.666666666666667,4,2
IR033CS,9,Math,-1.1308008427286838,NA,0,7.5,0,0,1,0,1,1,1,7.5,0,107.5,0,7.5,0,2.5
IR033CS,9,Physics,0.5585537165913353,NA,0,6,0,0,1,0,1,1,1,4,0,98,0,4,0,2
IR004CS,10,Math,-0.18566689507275905,NA,0,0,0,0,0,0,1,1,1,0,0,50,0,0,0,0
IR050CS,11,Math,-0.6582338689007213,NA,0,10,1,0,0,0,1,1,1,0,0,60,0,0,0,10
IR050CS,11,Physics,-0.7589077373377755,NA,0,7.142857142857143,1,0,0,0,1,1,1,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
IR033EE,12,Physics,-0.42954237385549776,NA,0,7.142857142857143,1,0,1,0,1,0,1,2.8571428571428568,0,55.71428571428571,0,0,1.4285714285714288,0
IR012EE,13,Math,-1.603367816556646,NA,0,0,1,0,0,0,1,0,0,0,0,100,10,0,0,0
IR012EE,13,Physics,-0.7589077373377755,NA,0,0,1,0,0,0,1,0,0,2.5,0,172.5,2.5,2.5,2.5,0
IR004EE,14,Physics,0.2291883531090576,NA,0,0,0,0,0,0,1,1,1,0,0,58,2,0,0,6
IR036EE,15,Math,0.9957505394971468,NA,0,5,1,0,1,0,1,0,0,0,0,102.5,0,5,5,5
IR036EE,15,Physics,-0.7589077373377755,NA,0,2.8571428571428568,1,0,1,0,1,0,0,1.4285714285714288,2.8571428571428568,95.71428571428572,3.75,1.25,2.8571428571428568,2.8571428571428568
IR036EE,16,Math,-1.1308008427286838,NA,0,0,1,0,1,0,1,0,0,0,0,70,0,0,0,0
IR036EE,16,Physics,-0.10017701037322008,NA,0,8,1,0,1,0,1,0,0,0,0,72,0,1.666666666666667,0,2
IR042EE,17,Math,0.7594670525831656,NA,0,6.666666666666666,1,0,0,0,1,0,0,0,0,56.66666666666667,0,0,0,3.333333333333334
IR042EE,17,Physics,-1.0882731008200532,NA,0,5,1,0,0,0,1,0,0,1.25,2.5,108.75,2.5,0,0,0
IR036CS,18,Math,-1.603367816556646,NA,0,5,1,0,1,0,1,0,0,0,5,100,5,0,5,0
IR036CS,18,Physics,-2.0763691912668865,NA,0,10,1,0,1,0,1,0,0,0,0,50,0,0,0,0
IR050CS,19,Math,-0.42195038198674023,NA,0,10,1,0,0,0,1,0,0,0,0,60,0,0,0,10
IR050CS,19,Physics,-0.7589077373377755,NA,0,7.142857142857143,1,0,0,0,1,0,0,0,0,92.85714285714286,1.4285714285714288,0,2.8571428571428577,5.7142857142857135
IR033EE,20,Physics,-0.7589077373377755,NA,0,8.571428571428571,1,0,0,0,1,0,0,4.285714285714286,0,72.85714285714286,0,0,0,1.4285714285714288
IR050EE,21,Math,0.2869000787552033,NA,0,10,1,0,0,0,1,1,1,0,0,30,0,0,5,0
IR050EE,21,Physics,1.2172844435558907,NA,0,7.142857142857143,1,0,0,0,1,1,1,0,0,85.71428571428571,2.8571428571428568,0,5.7142857142857135,7.142857142857143
IR012EE,22,Math,1.232034026411128,NA,0,0,0,0,0,0,1,0,0,0,0,100,10,0,0,0
IR012EE,22,Physics,-0.10017701037322008,NA,0,0,0,0,0,0,1,0,0,2.5,0,172.5,2.5,2.5,2.5,0
IR036CS,23,Math,0.05061659184122212,NA,0,5,1,0,1,0,1,0,0,0,5,100,5,0,5,0
IR036CS,23,Physics,0.887919080073613,NA,0,10,1,0,1,0,1,0,0,0,0,50,0,0,0,0
IR050CS,24,Math,-0.8945173558147025,NA,0,10,1,0,0,0,1,1,1,0,0,60,0,0,0,10
IR050CS,24,Physics,0.5585537165913353,NA,0,7.142857142857143,1,0,0,0,1,1,1,0,0,87.14285714285714,1.4285714285714288,0,2.8571428571428577,4.285714285714286
IR050CS,25,Math,0.05061659184122212,NA,0,10,1,0,0,0,1,0,0,0,0,25,0,0,0,5
IR050CS,25,Physics,-1.417638464302331,NA,0,5.7142857142857135,1,0,0,0,1,0,0,0,0,93.33333333333334,1.4285714285714288,2.8571428571428568,2.8571428571428577,4.285714285714286
IR050CS,26,Math,0.5231835656691844,NA,0,10,0,0,0,0,1,1,1,0,0,60,0,0,0,10
IR050CS,26,Physics,-1.417638464302331,NA,0,7.142857142857143,0,0,0,0,1,1,1,0,0,92.85714285714286,1.4285714285714288,0,2.8571428571428577,5.7142857142857135
IR042EE,27,Math,0.9957505394971468,NA,0,0,1,0,0,0,1,0,0,10,0,160,0,10,10,0
IR042EE,27,Physics,-1.7470038277846085,NA,0,10,1,0,0,0,1,0,0,0,0,115,0,5,0,5
IR042EE,28,Math,-0.8945173558147025,NA,0,0,1,0,1,0,1,0,0,5,0,130,0,5,5,0
IR042EE,28,Physics,0.2291883531090576,NA,0,7.5,1,0,1,0,1,0,0,0,2.5,112.5,2.5,0,0,0
IR050CS,29,Math,-0.6582338689007213,NA,0,10,1,0,1,0,1,0,1,0,0,25,0,0,0,5
IR050CS,29,Physics,-1.0882731008200532,NA,0,4.285714285714286,1,0,1,0,1,0,1,0,0,100,1.4285714285714288,2.8571428571428568,4.285714285714286,4.285714285714286
IR036CS,30,Math,1.4683175133251092,NA,0,6,0,0,1,0,1,0,0,0,4,122,4,2,4,2
